id,text_snippet,labels
1,Can you guarantee backup and recovery for our compliance team?,"Security,Objection"
2,We’re comparing your AI engine with EnterpriseF's. How does yours stack up?,"Competition,Security,Objection"
3,We’re concerned about your SOC2 certified—can you clarify?,"Objection,Competition,Pricing Discussion"
4,"How does your predictive modeling compare to CompanyC's? Also, what’s your pricing model?","Security,Objection"
5,Can you guarantee encryption for our compliance team?,"Security,Objection"
6,The subscription is a deal-breaker for us unless you can adjust it.,Objection
7,Is there a cost structure if we commit to a longer-term contract?,"Pricing Discussion,Objection"
8,"We’ve been using CompetitorX, but we’re open to switching. Convince us.","Competition,Pricing Discussion"
9,Can you guarantee data breach risks for our compliance team?,"Security,Pricing Discussion,Competition"
10,Does your data pipeline include built-in GDPR compliance measures?,Security
11,"We like your workflow automation, but RivalB has a better pricing model, and we’re worried about SOC2 certified.","Security,Competition"
12,We’re concerned about your compliance—can you clarify?,"Objection,Pricing Discussion,Security"
13,I don’t see why we should pick your product over EnterpriseF’s.,Objection
14,"We like your analytics, but VendorA has a better pricing model, and we’re worried about SOC2 certified.","Objection,Pricing Discussion,Competition"
15,"How does your reporting tools compare to RivalB's? Also, what’s your monthly fees?","Objection,Security"
16,"We’ve been using CompetitorX, but we’re open to switching. Convince us.",Competition
17,Is there a cost structure if we commit to a longer-term contract?,"Pricing Discussion,Competition,Security"
18,"We like your custom integrations, but CompetitorZ has a better pricing model, and we’re worried about data breach risks.","Security,Pricing Discussion,Competition"
19,"Your billing cycle seems high, and we’re hesitant about compliance.","Pricing Discussion,Competition,Objection"
20,"Your billing cycle seems high, and we’re hesitant about SOC2 certified.","Pricing Discussion,Competition,Objection"
21,We’re considering StartupD because their workflow automation sounds more advanced.,"Competition,Security"
22,"We like your reporting tools, but CompetitorX has a better pricing model, and we’re worried about GDPR compliance.","Objection,Competition"
23,How does your analytics compare to CompetitorX's analytics?,"Competition,Security"
24,"Your quote seems high, and we’re hesitant about encryption.","Competition,Security,Objection"
25,I’d like a quote with no hidden fees. Does your pricing include AI engine support?,"Pricing Discussion,Objection,Competition"
26,How do you ensure data handling for sensitive data?,"Security,Competition,Pricing Discussion"
27,We’re comparing your predictive modeling with RivalB's. How does yours stack up?,"Competition,Pricing Discussion"
28,Does your predictive modeling include built-in data breach risks measures?,"Security,Competition,Pricing Discussion"
29,"Honestly, CompetitorX seems better in terms of hidden fees. Can you explain why we should pick you?","Competition,Objection,Security"
30,I heard StartupD had SOC2 certified issues. Can you assure us you’re better?,Pricing Discussion
31,Is there a budget if we commit to a longer-term contract?,Pricing Discussion
32,Can you guarantee firewalls for our compliance team?,"Security,Pricing Discussion"
33,I don’t see why we should pick your product over ProviderE’s.,"Objection,Pricing Discussion"
34,"How does your predictive modeling compare to StartupD's? Also, what’s your cost structure?","Security,Objection"
35,How does your data pipeline compare to StartupD's data pipeline?,"Competition,Pricing Discussion"
36,"Your monthly fees seems high, and we’re hesitant about firewalls.",Competition
37,I don’t see why we should pick your product over CompanyC’s.,Objection
38,We’re considering VendorA because their data pipeline sounds more advanced.,Competition
39,We’re comparing your predictive modeling with EnterpriseF's. How does yours stack up?,"Competition,Pricing Discussion,Objection"
40,Is there a cost structure if we commit to a longer-term contract?,Pricing Discussion
41,"Your quote seems high, and we’re hesitant about SOC2 certified.",Pricing Discussion
42,Can you guarantee GDPR compliance for our compliance team?,"Security,Pricing Discussion"
43,"Your monthly fees seems high, and we’re hesitant about data handling.","Competition,Security,Objection"
44,We’re concerned about your compliance—can you clarify?,Objection
45,How does your predictive modeling compare to RivalB's predictive modeling?,"Competition,Pricing Discussion,Objection"
46,"Your pricing model seems high, and we’re hesitant about firewalls.","Competition,Pricing Discussion"
47,"Honestly, ProviderE seems better in terms of discount. Can you explain why we should pick you?","Competition,Objection,Security"
48,"How does your analytics compare to RivalB's? Also, what’s your renewal cost?",Objection
49,I heard CompetitorZ had compliance issues. Can you assure us you’re better?,"Competition,Security,Objection"
